State,Ban_Type
Alabama,Total abortion ban
Arkansas,Total abortion ban
Idaho,Total abortion ban
Indiana,Total abortion ban
Kentucky,Total abortion ban
Louisiana,Total abortion ban
Mississippi,Total abortion ban
Missouri,Total abortion ban
Oklahoma,Total abortion ban
South Dakota,Total abortion ban
Tennessee,Total abortion ban
Texas,Total abortion ban
West Virginia,Total abortion ban
Florida,6-week ban
Georgia,6-week ban
Iowa,6-week ban
South Carolina,6-week ban
Mississippi,6-week ban
Nebraska,12-week ban
North Carolina,12-week ban
Arizona,15-week ban
Kansas,18-23-week ban
Ohio,18-23-week ban
Utah,18-23-week ban
Wisconsin,18-23-week ban
California,18-23-week ban
Connecticut,18-23-week ban
Delaware,18-23-week ban
Hawaii,18-23-week ban
Illinois,18-23-week ban
Maine,18-23-week ban
Massachusetts,18-23-week ban
Montana,18-23-week ban
Nevada,18-23-week ban
New Hampshire,18-23-week ban
New York,18-23-week ban
North Dakota,18-23-week ban
Pennsylvania,18-23-week ban
Rhode Island,18-23-week ban
Virginia,18-23-week ban
Washington,18-23-week ban
Wyoming,18-23-week ban
Alaska,No gestational ban
Colorado,No gestational ban
Washington DC,No gestational ban
Maryland,No gestational ban
Michigan,No gestational ban
Minnesota,No gestational ban
New Jersey,No gestational ban
New Mexico,No gestational ban
Oregon,No gestational ban
Vermont,No gestational ban
District of Columbia,No gestational ban